"Job Id","Date Initially Published","Occupation Name","Specialty Name",Country,State,City,"Job Title","Job Number","Candidate Contact","Job Status","Job Link",Site,"Views Count","Applications Count"
19602374,10/25/24,Physician,Gastroenterology,"United States",Virginia,Charlottesville,"Gastroentolerogist - Great opportunity in a beautiful community",,Carrie.Weeks@BECAStaffing.com,inactive,https://www.doccafe.com/job/physician/gastroenterology/19602374/gastroentolerogist-great-opportunity-in-a-beautiful-community,DocCafe,178,0
19625115,11/08/24,Physician,Gastroenterology,"United States",Virginia,Norfolk,"General Gastroenterologist Needed in Beautiful Norfolk, VA",j-694,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/gastroenterology/19625115/general-gastroenterologist-needed-in-beautiful-norfolk-va,DocCafe,180,2
19627620,11/08/24,Physician,Gastroenterology,"United States",Virginia,Charlottesville,"Advanced Gastroenterologist- Charlottesville, VA",j-760,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/gastroenterology/19627620/advanced-gastroenterologist-charlottesville-va,DocCafe,181,1
19627697,11/08/24,Physician,Gastroenterology,"United States",Virginia,Charlottesville,"Full-time, Outpatient-only General Gastroenterologist Opportunity in the Blue Ridge Mountains",j-793,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/gastroenterology/19627697/full-time-outpatient-only-general-gastroenterologist-opportunity-in-the-blue-ridge-mountains,DocCafe,183,0
19629860,11/08/24,Physician,Gastroenterology,"United States",Virginia,Charlottesville,"GI Hospitalist - Charlottesville, VA",j-826,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/gastroenterology/19629860/gi-hospitalist-charlottesville-va,DocCafe,164,1
19629912,11/08/24,Physician,Gastroenterology,"United States",Virginia,Harrisonburg,"Full-time GI Hospitalist needed  in Harrisonburg, VA - Work just 26 weeks/year!",j-859,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/gastroenterology/19629912/full-time-gi-hospitalist-needed-in-harrisonburg-va-work-just-26-weeks-year,DocCafe,172,1
19629948,11/08/24,Physician,Gastroenterology,"United States",Virginia,Harrisonburg,"OP General GI Opportunity in Harrisonburg, VA  - No weekends, holidays or nights!",j-892,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/gastroenterology/19629948/op-general-gi-opportunity-in-harrisonburg-va-no-weekends-holidays-or-nights,DocCafe,181,0
19635617,11/08/24,Physician,Pulmonology,"United States",Virginia,"Virginia Beach","Pulmonologist opportunity in Vibrant Virginia",,Carrie.Weeks@BECAStaffing.com,archived,https://www.doccafe.com/job/physician/pulmonology/19635617/pulmonologist-opportunity-in-vibrant-virginia,DocCafe,89,2
19662118,12/06/24,Physician,Obstetrics,"United States",Florida,Tallahassee,"Full-time Certified Nurse Midwife",j-958,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/obstetrics/19662118/full-time-certified-nurse-midwife,DocCafe,137,1
19662134,1/28/25,Physician,"Obstetrics & Gynecology","United States",Florida,"Orange City","Obstetrician/Gynecologist (OB/GYN)",j-991,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/obstetrics-gynecology/19662134/obstetrician-gynecologist-ob-gyn,DocCafe,116,0
19663914,1/28/25,Physician,Obstetrics,"United States",Virginia,Harrisonburg,"Team Leader Certified Nurse Midwife (CNM)",j-1024,shari.hoffman@becastaffing.com,archived,https://www.doccafe.com/job/physician/obstetrics/19663914/team-leader-certified-nurse-midwife-cnm,DocCafe,43,0
19663927,1/28/25,Physician,"Obstetrics & Gynecology","United States",Virginia,Charlottesville,"Part-time FLEX Obstetrician/Gynecologist",j-1057,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/obstetrics-gynecology/19663927/part-time-flex-obstetrician-gynecologist,DocCafe,135,0
19720087,1/13/25,Physician,"Obstetrics & Gynecology","United States",Tennessee,Nashville,"OB/GYN Physician Nashville",,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/obstetrics-gynecology/19720087/ob-gyn-physician-nashville,DocCafe,120,0
19725905,1/20/25,"Nurse Practitioner","Emergency Medicine","United States",Virginia,Norfolk,"Full-time Acute Care Nurse Practitioner/Physician Assistant Nocturnist needed in Norfolk, VA (20K Bonus)",j-1321,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/nurse-practitioner/emergency-medicine/19725905/full-time-acute-care-nurse-practitioner-physician-assistant-nocturnist-needed-in-norfolk-va-20k-bonus,DocCafe,125,0
19728352,1/28/25,"Nurse Practitioner","Critical Care/ICU","United States",Virginia,Norfolk,"Nocturnist with Acute Care Training needed in coastal Norfolk, VA",j-1354,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/nurse-practitioner/critical-care-icu/19728352/nocturnist-with-acute-care-training-needed-in-coastal-norfolk-va,DocCafe,120,0
19729561,1/28/25,Physician,Gastroenterology,"United States",Tennessee,Nashville,"Gastroenterologist needed in Nashville",j-1388,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/gastroenterology/19729561/gastroenterologist-needed-in-nashville,DocCafe,158,0
19729566,1/23/25,Physician,"Obstetrics & Gynecology","United States",Tennessee,Nashville,"OB/GYN needed in Nashville, TN",j-1420,Carrie.Weeks@BECAStaffing.com,inactive,https://www.doccafe.com/job/physician/obstetrics-gynecology/19729566/ob-gyn-needed-in-nashville-tn,DocCafe,124,0
19769548,2/20/25,Physician,Gastroenterology,"United States",Illinois,,"Gastroentolerogist - IL/MO",J-1486,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/gastroenterology/19769548/gastroentolerogist-il-mo,DocCafe,125,1
19808118,3/21/25,Physician,"Obstetrics & Gynecology","United States",Virginia,,"OB Hosptialist",,Carrie.Weeks@BECAStaffing.com,inactive,https://www.doccafe.com/job/physician/obstetrics-gynecology/19808118/ob-hosptialist,DocCafe,94,0
19820274,3/28/25,Physician,"Family Practice-With OB","United States",Tennessee,Nashville,"Family Practice  Physician",,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/family-practice-with-ob/19820274/family-practice-physician,DocCafe,134,1
19843410,4/11/25,Physician,"Obstetrics & Gynecology","United States",Georgia,Albany,"OB/Hospitalist - GA",j-2212,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/obstetrics-gynecology/19843410/ob-hospitalist-ga,DocCafe,148,0
19843416,4/11/25,Physician,"Obstetrics & Gynecology","United States",Georgia,Covington,"OB/GYN Hospitalist - GA Near Atlanta",j-2278,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/obstetrics-gynecology/19843416/ob-gyn-hospitalist-ga-near-atlanta,DocCafe,125,0
19876097,5/02/25,"Nurse Practitioner",Obstetrics,"United States",Florida,"Orange Park","Certified Nurse Midwife - Orange Park, FL",J-1519,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/nurse-practitioner/obstetrics/19876097/certified-nurse-midwife-orange-park-fl,DocCafe,97,1
19883242,5/07/25,Midwife,Obstetrics,"United States",Florida,"Orange City","Certified Nurse Midwife - Near Orlando",,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/midwife/obstetrics/19883242/certified-nurse-midwife-near-orlando,DocCafe,141,0
19883272,5/07/25,Physician,"Obstetrics & Gynecology","United States",Florida,"Miramar Beach","OB Hospitalist - South Florida",J-2608,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/obstetrics-gynecology/19883272/ob-hospitalist-south-florida,DocCafe,81,0
19897050,5/20/25,Physician,"Obstetrics & Gynecology","United States",Georgia,Atlanta,"OB/GYN unique opportunity -  GYN surgical focus",J-2674,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/obstetrics-gynecology/19897050/ob-gyn-unique-opportunity-gyn-surgical-focus,DocCafe,83,0
19942580,6/26/25,Physician,Radiology-Breast,"United States","New Jersey",Newark,"Breast Imaging Radiologist - NJ",,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/radiology-breast/19942580/breast-imaging-radiologist-nj,DocCafe,200,0
19982645,8/03/25,Physician,Gastroenterology,"United States","New York",Potsdam,Gastroenterologist,J-3005,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/gastroenterology/19982645/gastroenterologist,DocCafe,145,0
19982646,8/03/25,Physician,Otolaryngology,"United States","New York",Potsdam,"Otolaryngologist - ENT",j-3004,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/otolaryngology/19982646/otolaryngologist-ent,DocCafe,100,0
19982647,8/03/25,"Physician Assistant",Cardiology,"United States","New York",Potsdam,"Cardiology - APP",,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician-assistant/cardiology/19982647/cardiology-app,DocCafe,64,0
19983014,8/04/25,Physician,"Obstetrics & Gynecology","United States","New York",Potsdam,"OB/GYN Hosptialist",,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/obstetrics-gynecology/19983014/ob-gyn-hosptialist,DocCafe,94,0
19985210,8/06/25,Physician,Anesthesiology,"United States","New York",Potsdam,"Anesthesiologist - NY",,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/anesthesiology/19985210/anesthesiologist-ny,DocCafe,86,0
19985213,8/06/25,Physician,Dermatology,"United States","New York",Potsdam,Dermatologist,J-1717,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/dermatology/19985213/dermatologist,DocCafe,95,0
19985217,8/06/25,Physician,"Emergency Medicine","United States","New York",Potsdam,"Emergency Medicine Physician",J-1783,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/emergency-medicine/19985217/emergency-medicine-physician,DocCafe,142,0
19985234,8/06/25,"Nurse Practitioner","Womens Health","United States","New York",Gouverneur,"Women’s Health Nurse Practitioner",J-1948,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/nurse-practitioner/womens-health/19985234/womens-health-nurse-practitioner,DocCafe,103,0
19985260,8/06/25,"Nurse Practitioner",Hospitalist,"United States","New York",Potsdam,"Surgical Service/Hospitalist APP",j-1981,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/nurse-practitioner/hospitalist/19985260/surgical-service-hospitalist-app,DocCafe,63,0
19985272,8/06/25,"Physician Assistant","Pain Management","United States","New York",Potsdam,"Pain Management APP",,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician-assistant/pain-management/19985272/pain-management-app,DocCafe,62,0
19985273,8/06/25,"Nurse Practitioner","Family Practice/Primary Care","United States","New York",Gouverneur,"Primary Care APP",,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/nurse-practitioner/family-practice-primary-care/19985273/primary-care-app,DocCafe,87,0
19985302,8/06/25,Physician,Urology,"United States","New York",Potsdam,Urologist,,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/urology/19985302/urologist,DocCafe,85,1
19985305,8/06/25,CRNA,Anesthesiology,"United States","New York",Potsdam,"CRNA - NY",j-1684,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/crna/anesthesiology/19985305/crna-ny,DocCafe,116,0
